Date,Forecast,Lower Bound,Upper Bound
2024-04-30,10503451.98105485,8525731.522493934,12481172.439615766
2024-05-31,10198660.759217756,8143425.205006447,12253896.313429065
2024-06-30,11350626.9740355,9251755.69032898,13449498.25774202
2024-07-31,14006498.355289126,11907178.450292453,16105818.260285798
2024-08-31,11880037.466461375,9771970.403857522,13988104.529065229
2024-09-30,12244661.497187212,10132326.473121397,14356996.521253027
2024-10-31,8764584.298979938,6646453.553777693,10882715.044182183
2024-11-30,5501930.704997312,3378642.7563825287,7625218.653612096
2024-12-31,5267672.140787096,3139002.505159101,7396341.776415091
2025-01-31,3964375.416204761,1830430.065810779,6098320.766598742
2025-02-28,5092246.488283108,2953002.7443861123,7231490.232180104
2025-03-31,9188020.01009368,7043504.799010818,11332535.221176542
